Course ID	Subject	Catalog	Subject Description	 Course Description	Attribute Formal Desc
81	LIT	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(CZ) Civilizations
81	LIT	102	INTRO AFR-AMER STUDIES	A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.	(SS) Social Sciences
82	AAAS	103	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(ALP) Arts, Literature & Performance
82	AAAS	103	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CCI) Cross Cultural Inquiry
82	AAAS	103	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CZ) Civilizations
82	CULANTH	105	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(ALP) Arts, Literature & Performance
82	CULANTH	105	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CCI) Cross Cultural Inquiry
82	CULANTH	105	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CZ) Civilizations
82	HISTORY	129	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(ALP) Arts, Literature & Performance
82	HISTORY	129	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CCI) Cross Cultural Inquiry
82	HISTORY	129	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CZ) Civilizations
82	ICS	110	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(ALP) Arts, Literature & Performance
82	ICS	110	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CCI) Cross Cultural Inquiry
82	ICS	110	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CZ) Civilizations
82	POLSCI	108	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(ALP) Arts, Literature & Performance
82	POLSCI	108	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CCI) Cross Cultural Inquiry
82	POLSCI	108	INTRO TO AFRICAN STUDIES	A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.	(CZ) Civilizations
506	ARABIC	101	ELEMENTARY ARABIC	Understanding, speaking, reading, and writing modern standard Arabic. Language laboratory.	(FL) Foreign Language
507	ARABIC	102	ELEMENTARY ARABIC	Continuation of Arabic 101. Prerequisite: Arabic 101 or equivalent.	(FL) Foreign Language
512	ARABIC	203	INTERMEDIATE ARABIC	Reading, composition, and conversation in modern standard Arabic. Readings include selections from the Qur'an, contemporary literature, and the Arabic press. Prerequisite: Arabic 102 or equivalent.	(CZ) Civilizations
512	ARABIC	203	INTERMEDIATE ARABIC	Reading, composition, and conversation in modern standard Arabic. Readings include selections from the Qur'an, contemporary literature, and the Arabic press. Prerequisite: Arabic 102 or equivalent.	(FL) Foreign Language
513	ARABIC	204	INTERMEDIATE ARABIC	Continuation of Arabic 203. Prerequisite: Arabic 203 or equivalent.	(CZ) Civilizations
513	ARABIC	204	INTERMEDIATE ARABIC	Continuation of Arabic 203. Prerequisite: Arabic 203 or equivalent.	(FL) Foreign Language
516	ARABIC	305	ADVANCED ARABIC	Readings in classical and contemporary fiction and nonfiction. Works include al-Jahiz, Ibn Arabi, Taha Husain, Ibn Battuta, Ghada al-Samman and 1001 Nights.  Prerequisite: Arabic 204 or equivalent.	(ALP) Arts, Literature & Performance
516	ARABIC	305	ADVANCED ARABIC	Readings in classical and contemporary fiction and nonfiction. Works include al-Jahiz, Ibn Arabi, Taha Husain, Ibn Battuta, Ghada al-Samman and 1001 Nights.  Prerequisite: Arabic 204 or equivalent.	(CCI) Cross Cultural Inquiry
516	ARABIC	305	ADVANCED ARABIC	Readings in classical and contemporary fiction and nonfiction. Works include al-Jahiz, Ibn Arabi, Taha Husain, Ibn Battuta, Ghada al-Samman and 1001 Nights.  Prerequisite: Arabic 204 or equivalent.	(FL) Foreign Language
517	ARABIC	306	ADVANCED ARABIC	Students will transition from reading short texts to completing a full novel, Sayyidi wa Habibi by Hoda Barakat. Focus on analyzing and discussing literary content. Students will strengthen their reading, writing, speaking, and comprehension skills. includes a service-learning component with native speakers. Recommended prerequisite: Arabic 305 or equivalent.	(ALP) Arts, Literature & Performance
517	ARABIC	306	ADVANCED ARABIC	Students will transition from reading short texts to completing a full novel, Sayyidi wa Habibi by Hoda Barakat. Focus on analyzing and discussing literary content. Students will strengthen their reading, writing, speaking, and comprehension skills. includes a service-learning component with native speakers. Recommended prerequisite: Arabic 305 or equivalent.	(FL) Foreign Language
529	ARTHIST	  89S	FIRST-YEAR SEMINAR (TOP)	Topics vary each semester offered.	Seminar
529	ARTHIST	  89S	FIRST-YEAR SEMINAR (TOP)	Topics vary each semester offered.	Topics Course
547	ARTHIST	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(ALP) Arts, Literature & Performance
547	ARTHIST	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CCI) Cross Cultural Inquiry
547	ARTHIST	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CZ) Civilizations
547	ARTHIST	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(EI) Ethical Inquiry
547	CLST	354	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(ALP) Arts, Literature & Performance
547	CLST	354	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CCI) Cross Cultural Inquiry
547	CLST	354	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CZ) Civilizations
547	CLST	354	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(EI) Ethical Inquiry
547	VMS	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(ALP) Arts, Literature & Performance
547	VMS	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CCI) Cross Cultural Inquiry
547	VMS	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(CZ) Civilizations
547	VMS	334	ROMAN SPECTACLE	Gladiatorial games, wild beast hunts, elaborately-staged executions of condemned criminals, and chariot racing as some of the most popular forms of public entertainment in the Roman world. The ritual of these entertainments and spectacles, the circumstances of and occasions for their performance, and the form and elaboration of the venues - the amphitheater, the circus, the theater, and the stadium - in which they took place. Visual and literary representations of these spectacles.	(EI) Ethical Inquiry
585	ARTHIST	258	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(ALP) Arts, Literature & Performance
585	ARTHIST	258	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(CZ) Civilizations
585	ITALIAN	258	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(ALP) Arts, Literature & Performance
585	ITALIAN	258	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(CZ) Civilizations
585	MEDREN	227	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(ALP) Arts, Literature & Performance
585	MEDREN	227	RENAISSANCE ARCH. IN ITALY	Architecture, design, theory, engineering, construction, and the related arts, 1400-1600. The architectural production of the Italian Renaissance in its historical, cultural, social, and economic context. Contributions of individual masters, including Brunelleschi, Alberti, Bramante, Leonardo, Raphael, Michelangelo, Palladio. Emphasis on architecture in Florence and Rome.	(CZ) Civilizations
587	ARTHIST	231	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(ALP) Arts, Literature & Performance
587	ARTHIST	231	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(R) Research
587	ARTHIST	231	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(SS) Social Sciences
587	ARTHIST	231	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(STS) Science, Technology, and Society
587	ECON	344	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(ALP) Arts, Literature & Performance
587	ECON	344	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(R) Research
587	ECON	344	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(SS) Social Sciences
587	ECON	344	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(STS) Science, Technology, and Society
587	VMS	242	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(ALP) Arts, Literature & Performance
587	VMS	242	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(R) Research
587	VMS	242	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(SS) Social Sciences
587	VMS	242	HISTORY OF ART MARKETS	Analytical survey of emergence of art markets, interactions between market behavior(s), visual/media culture(s). Addresses questions regarding the nature of art markets, the specificity of art markets and the application of economic and historical methodologies, how and where players in local markets throughout the world shape visual culture(s), effective causes for art consumption, taste, fashion throughout ages, and methodological implications of art market research at interface of Economics, Art History, Law and Visual Studies.	(STS) Science, Technology, and Society
588	ECON	452	ECONOMIC GROWTH	Examination of the enormous differences in living standards across countries, which reflect differences in growth experiences. Course studies both analytical foundations of modern growth theory and the most recent advances in modeling to shed light on old and new questions about such experiences. Not open to students with credit for Economics 352/International Comparative Studies 356. Prerequisite: Economics 201D and 210D and (204D or 208D).	(CCI) Cross Cultural Inquiry
588	ECON	452	ECONOMIC GROWTH	Examination of the enormous differences in living standards across countries, which reflect differences in growth experiences. Course studies both analytical foundations of modern growth theory and the most recent advances in modeling to shed light on old and new questions about such experiences. Not open to students with credit for Economics 352/International Comparative Studies 356. Prerequisite: Economics 201D and 210D and (204D or 208D).	(R) Research
588	ECON	452	ECONOMIC GROWTH	Examination of the enormous differences in living standards across countries, which reflect differences in growth experiences. Course studies both analytical foundations of modern growth theory and the most recent advances in modeling to shed light on old and new questions about such experiences. Not open to students with credit for Economics 352/International Comparative Studies 356. Prerequisite: Economics 201D and 210D and (204D or 208D).	(SS) Social Sciences
601	ARTHIST	280	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(ALP) Arts, Literature & Performance
601	ARTHIST	280	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(CCI) Cross Cultural Inquiry
601	ARTHIST	280	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(CZ) Civilizations
601	GSF	281	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(ALP) Arts, Literature & Performance
601	GSF	281	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(CCI) Cross Cultural Inquiry
601	GSF	281	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(CZ) Civilizations
601	ITALIAN	384	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(ALP) Arts, Literature & Performance
601	ITALIAN	384	AVANT-GARDE ART 1900-1945	Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.	(CCI) Cross Cultural Inquiry
